,train_mean,test_mean,train_std,test_std,ks_statistic,ks_pvalue,mw_statistic,mw_pvalue,potential_drift
sensor_1,1590.5231186079204,1588.099204337202,6.131149519690819,5.0032739301174916,0.16777571631519161,1.4044330481091487e-197,165768229.0,1.8446851081326141e-271,True
sensor_2,1408.9337816877514,1404.735361942578,9.000604780543714,6.688309292918428,0.21064963993222152,2.33324751361e-312,171476071.5,0.0,True
sensor_3,14.620000000000001,14.620000000000001,1.776399891637612e-15,1.7764246638724844e-15,0.0,1.0,135091788.0,1.0,False
sensor_4,21.60980320876352,21.609700671960905,0.0013889849127073112,0.001704084756050042,0.010253680260712814,0.36623703042492206,136476976.0,1.5593288620274235e-09,True
sensor_5,553.367711211284,553.757522907758,0.8850922576634073,0.6812861095937905,0.1947717910136773,1.0250145091368878e-266,100573231.5,0.0,True
sensor_6,2388.0966516407348,2388.070964416616,0.07098547889092417,0.05744178414465767,0.15626395810232374,2.606862581856162e-171,163074260.0,1.0445047195974597e-226,True
sensor_7,9065.242940720276,9058.407363317043,22.082879525066232,11.436260521347428,0.1353359909634182,1.9719893091400647e-128,158874483.0,5.355242175025923e-164,True
sensor_8,1.3,1.3000000000000003,0.0,2.2205308298406055e-16,0.0,1.0,135091788.0,1.0,False
sensor_9,47.54116814502448,47.41620418448381,0.2670873986396848,0.19591724531323335,0.2107811801262116,9.42553893204e-313,171720761.5,0.0,True
sensor_10,521.4134700208425,521.7477237324374,0.7375533922097114,0.5596267536793371,0.19936715916440462,1.5213515383996947e-279,99679269.5,0.0,True
sensor_11,2388.0961523920314,2388.0710247403786,0.07191891569857813,0.05693431032161748,0.1564237235500947,1.1604244323924075e-171,162307913.0,1.4225376277084477e-214,True
sensor_12,8143.752722117202,8138.9478168906535,19.07617597595311,10.18860497999249,0.11558957602959552,1.0542734693187129e-93,152080734.5,1.2009450940960263e-84,True
sensor_13,8.44214558189133,8.425843967623702,0.03750503795196652,0.029009327545570944,0.1942311067790442,3.1604240780032816e-265,168842343.0,0.0,True
sensor_14,0.030000000000000013,0.03000000000000001,1.3878124153418844e-17,1.0408738264877839e-17,0.0,1.0,135091788.0,1.0,False
sensor_15,393.2106538703892,392.5716249236408,1.5487630246142987,1.2335768256475628,0.18109078547394764,2.3621718089007743e-230,166566959.5,2.825267222463983e-299,True
sensor_16,2388.0,2388.0,0.0,0.0,0.0,1.0,135091788.0,1.0,False
sensor_17,100.0,100.0,0.0,0.0,0.0,1.0,135091788.0,1.0,False
sensor_18,38.816270660656286,38.892501527183875,0.18074642787366085,0.14168075530496146,0.18473234657313142,9.146563992078301e-240,102279466.0,2.2709188542936e-310,True
sensor_19,23.289705360864716,23.335742692425168,0.10825087474491234,0.08412028015562294,0.19342200134326448,5.247797919488465e-263,101781983.0,0.0,True
setting1,100.0,100.0,0.0,0.0,0.0,1.0,135091788.0,1.0,False
setting2,518.67,518.67,0.0,0.0,0.0,1.0,135091788.0,1.0,False
setting3,642.6809335466046,642.4750878130727,0.5000532700606232,0.4008993420740042,0.17941946996807834,4.250076977423077e-226,167172349.5,1.0878658037028546e-296,True
